ID;Модуль;Заголовок;Severity;Предусловия;Шаги;Ожидаемый результат;Статус;Покрытие/Причина
TC-054;Mission;Содержание всех 8 цитат;Medium;Пользователь на экране миссии;1. Развернуть каждую из 8 карточек;1. Каждая карточка соответствует ожидаемому тексту цитаты;Not Tested;Требуется проверка статичных данных в ViewModel
TC-055;Nav;Полный флоу: Splash -> Auth -> Main -> NewsList -> ControlPanel;Critical;Приложение запущено впервые;1. Пройти авторизацию 2. Перейти в новости 3. Перейти в панель управления;1. Каждый переход выполняется корректно 2. Экран назначения отображается;Not Tested;Будет покрыто NavigationTest
TC-056;Nav;Навигация через гамбургер-меню;Medium;Пользователь на Main;1. Открыть меню 2. Выбрать "News";1. Переход на NewsListFragment;Not Tested;Будет покрыто NavigationTest
TC-057;Nav;Навигация обратно через system back;High;Пользователь на NewsList;1. Нажать системную кнопку "Назад";1. Возврат на MainFragment с корректным состоянием;Not Tested;Будет покрыто NavigationTest
TC-058;Nav;Навигация с Auth на Main при успешном логине;Critical;Пользователь вводит верные данные;1. Ввести логин/пароль 2. Нажать Sign In;1. Переход на MainFragment, AuthFragment выталкивается из стека;Not Tested;Будет покрыто NavigationTest
TC-059;Error;Отсутствие сети на экране новостей;High;Сеть отключена, пользователь на NewsList;1. Выполнить pull-to-refresh;1. Отображается сообщение об ошибке сети 2. Кнопка Retry доступна;Not Tested;Требуется MockWebServer с эмуляцией недоступности
TC-060;Error;Поведение при 401 — автоматический refresh токена;High;Access token истёк;1. Выполнить запрос на получение новостей 2. Сервер возвращает 401;1. RefreshAuthenticator обновляет токен 2. Запрос повторяется 3. Данные отображаются;Not Tested;Требуется MockWebServer + последовательность ответов
TC-061;Error;Поведение при истечении refresh token;High;Refresh token истёк;1. Выполнить запрос 2. Сервер возвращает 401 на refresh;1. Пользователь перенаправляется на экран логина;Not Tested;Требуется сложное мокирование сценария
TC-062;Error;Retry после ошибки восстанавливает данные;High;Ошибка сети, отображается empty state с Retry;1. Восстановить сеть 2. Нажать "Retry";1. Данные загружаются 2. Empty state заменяется списком;Not Tested;Будет покрыто UI-тестом с MockWebServer
TC-063;Role;Обычный пользователь не видит иконку редактирования;High;Пользователь без прав admin;1. Перейти на NewsList;1. Иконка редактирования (pen) не отображается;Not Tested;Требуется мокирование UserApi admin=false
TC-064;Role;Admin видит иконку редактирования на NewsList;High;Пользователь admin;1. Перейти на NewsList;1. Иконка редактирования отображается;Not Tested;Требуется мокирование UserApi admin=true
TC-065;Role;Non-admin получает Toast при попытке доступа к панели;High;Пользователь без прав admin;1. Нажать на иконку редактирования;1. Toast "only available to admins" 2. Перехода не происходит;Not Tested;Будет покрыто RoleTest
TC-066;UI;Проверка тёмной темы;Low;Системная тема — тёмная;1. Запустить приложение на устройстве с тёмной темой;1. Интерфейс корректно отображается в тёмной теме;Not Tested;Требуется тест на устройстве/эмуляторе
TC-067;UI;Проверка английской локализации;Low;Язык системы — английский;1. Запустить приложение на устройстве с английским языком;1. Все тексты интерфейса на английском;Not Tested;Требуется тест с переключением локали
TC-068;UI;Проверка русской локализации;Low;Язык системы — русский;1. Запустить приложение на устройстве с русским языком;1. Все тексты интерфейса на русском;Not Tested;Требуется тест с переключением локали
TC-069;Nav;Навигация Mission -> Main;Medium;Пользователь на Mission;1. Открыть гамбургер-меню 2. Выбрать "Main";1. Переход на MainFragment;Not Tested;Будет покрыто NavigationTest
TC-070;Nav;Навигация ControlPanel -> CreateEdit через add;High;Пользователь admin в панели;1. Нажать кнопку Add;1. Переход на CreateEditNewsFragment;Not Tested;Будет покрыто NavigationTest
TC-071;Main;Отображение app bar с логотипом;Low;Пользователь авторизован;1. Проверить app bar на MainFragment;1. App bar содержит логотип V Hospice, кнопки меню, mission, auth;Not Tested;Будет покрыто UI-тестом MainScreenTest
TC-072;NewsList;Пагинация — загрузка следующих страниц;Low;Больше 20 новостей;1. Прокрутить список до конца;1. Загружаются следующие страницы (если реализовано);Not Tested;Бэкенд всегда запрашивает pages=1 — пагинация не используется
TC-073;CreateEdit;Сохранение без изменений (редактирование);Medium;Форма редактирования открыта;1. Нажать "Save" не меняя данных;1. Изменения сохраняются (PUT с теми же данными);Not Tested;Будет покрыто UI-тестом CreateEditNewsTest
TC-074;Auth;Пароль скрыт точками (inputType password);Low;Поле пароля на экране логина;1. Ввести текст в поле пароля;1. Символы отображаются как точки (password mask);Not Tested;Визуальная проверка
TC-075;Main;Свайп-рефреш не сбрасывает фильтры;Medium;На главной применены фильтры;1. Выполнить pull-to-refresh;1. Фильтры сохраняются 2. Новости обновляются с тем же фильтром;Not Tested;Будет покрыто UI-тестом MainScreenTest
